"gutenberg_id","text"
158,"EMMA"
158,""
158,"By Jane Austen"
158,""
158,""
158,""
158,""
158,"VOLUME I"
158,""
158,""
158,""
158,"CHAPTER I"
158,""
158,""
158,"Emma Woodhouse, handsome, clever, and rich, with a comfortable home"
158,"and happy disposition, seemed to unite some of the best blessings of"
158,"existence; and had lived nearly twenty-one years in the world with very"
158,"little to distress or vex her."
158,""
158,"She was the youngest of the two daughters of a most affectionate,"
158,"indulgent father; and had, in consequence of her sister's marriage, been"
158,"mistress of his house from a very early period. Her mother had died"
158,"too long ago for her to have more than an indistinct remembrance of"
158,"her caresses; and her place had been supplied by an excellent woman as"
158,"governess, who had fallen little short of a mother in affection."
158,""
158,"Sixteen years had Miss Taylor been in Mr. Woodhouse's family, less as a"
158,"governess than a friend, very fond of both daughters, but particularly"
158,"of Emma. Between _them_ it was more the intimacy of sisters. Even before"
158,"Miss Taylor had ceased to hold the nominal office of governess, the"
158,"mildness of her temper had hardly allowed her to impose any restraint;"
158,"and the shadow of authority being now long passed away, they had been"
158,"living together as friend and friend very mutually attached, and Emma"
158,"doing just what she liked; highly esteeming Miss Taylor's judgment, but"
158,"directed chiefly by her own."
158,""
158,"The real evils, indeed, of Emma's situation were the power of having"
158,"rather too much her own way, and a disposition to think a little too"
158,"well of herself; these were the disadvantages which threatened alloy to"
158,"her many enjoyments. The danger, however, was at present so unperceived,"
158,"that they did not by any means rank as misfortunes with her."
158,""
158,"Sorrow came--a gentle sorrow--but not at all in the shape of any"
158,"disagreeable consciousness.--Miss Taylor married. It was Miss Taylor's"
158,"loss which first brought grief. It was on the wedding-day of this"
158,"beloved friend that Emma first sat in mournful thought of any"
158,"continuance. The wedding over, and the bride-people gone, her father and"
158,"herself were left to dine together, with no prospect of a third to cheer"
158,"a long evening. Her father composed himself to sleep after dinner, as"
158,"usual, and she had then only to sit and think of what she had lost."
158,""
158,"The event had every promise of happiness for her friend. Mr. Weston"
158,"was a man of unexceptionable character, easy fortune, suitable age, and"
158,"pleasant manners; and there was some satisfaction in considering"
158,"with what self-denying, generous friendship she had always wished and"
158,"promoted the match; but it was a black morning's work for her. The want"
158,"of Miss Taylor would be felt every hour of every day. She recalled her"
158,"past kindness--the kindness, the affection of sixteen years--how she had"
158,"taught and how she had played with her from five years old--how she had"
158,"devoted all her powers to attach and amuse her in health--and how"
158,"nursed her through the various illnesses of childhood. A large debt of"
158,"gratitude was owing here; but the intercourse of the last seven"
158,"years, the equal footing and perfect unreserve which had soon followed"
158,"Isabella's marriage, on their being left to each other, was yet a"
158,"dearer, tenderer recollection. She had been a friend and companion such"
158,"as few possessed: intelligent, well-informed, useful, gentle, knowing"
158,"all the ways of the family, interested in all its concerns, and"
158,"peculiarly interested in herself, in every pleasure, every scheme of"
158,"hers--one to whom she could speak every thought as it arose, and who had"
158,"such an affection for her as could never find fault."
158,""
158,"How was she to bear the change?--It was true that her friend was going"
158,"only half a mile from them; but Emma was aware that great must be the"
158,"difference between a Mrs. Weston, only half a mile from them, and a Miss"
158,"Taylor in the house; and with all her advantages, natural and domestic,"
158,"she was now in great danger of suffering from intellectual solitude. She"
158,"dearly loved her father, but he was no companion for her. He could not"
158,"meet her in conversation, rational or playful."
158,""
158,"The evil of the actual disparity in their ages (and Mr. Woodhouse had"
158,"not married early) was much increased by his constitution and habits;"
158,"for having been a valetudinarian all his life, without activity of"
158,"mind or body, he was a much older man in ways than in years; and though"
158,"everywhere beloved for the friendliness of his heart and his amiable"
158,"temper, his talents could not have recommended him at any time."
158,""
158,"Her sister, though comparatively but little removed by matrimony, being"
158,"settled in London, only sixteen miles off, was much beyond her daily"
158,"reach; and many a long October and November evening must be struggled"
158,"through at Hartfield, before Christmas brought the next visit from"
158,"Isabella and her husband, and their little children, to fill the house,"
158,"and give her pleasant society again."
158,""
158,"Highbury, the large and populous village, almost amounting to a town,"
158,"to which Hartfield, in spite of its separate lawn, and shrubberies, and"
158,"name, did really belong, afforded her no equals. The Woodhouses"
158,"were first in consequence there. All looked up to them. She had many"
158,"acquaintance in the place, for her father was universally civil, but"
158,"not one among them who could be accepted in lieu of Miss Taylor for even"
158,"half a day. It was a melancholy change; and Emma could not but sigh over"
158,"it, and wish for impossible things, till her father awoke, and made it"
158,"necessary to be cheerful. His spirits required support. He was a nervous"
158,"man, easily depressed; fond of every body that he was used to, and"
158,"hating to part with them; hating change of every kind. Matrimony, as the"
158,"origin of change, was always disagreeable; and he was by no means yet"
158,"reconciled to his own daughter's marrying, nor could ever speak of her"
158,"but with compassion, though it had been entirely a match of affection,"
158,"when he was now obliged to part with Miss Taylor too; and from his"
158,"habits of gentle selfishness, and of being never able to suppose that"
158,"other people could feel differently from himself, he was very much"
158,"disposed to think Miss Taylor had done as sad a thing for herself as for"
158,"them, and would have been a great deal happier if she had spent all the"
158,"rest of her life at Hartfield. Emma smiled and chatted as cheerfully"
158,"as she could, to keep him from such thoughts; but when tea came, it was"
158,"impossible for him not to say exactly as he had said at dinner,"
158,""
158,"""Poor Miss Taylor!--I wish she were here again. What a pity it is that"
158,"Mr. Weston ever thought of her!"""
158,""
158,"""I cannot agree with you, papa; you know I cannot. Mr. Weston is such"
158,"a good-humoured, pleasant, excellent man, that he thoroughly deserves"
158,"a good wife;--and you would not have had Miss Taylor live with us for"
158,"ever, and bear all my odd humours, when she might have a house of her"
158,"own?"""
158,""
158,"""A house of her own!--But where is the advantage of a house of her own?"
158,"This is three times as large.--And you have never any odd humours, my"
158,"dear."""
158,""
158,"""How often we shall be going to see them, and they coming to see us!--We"
158,"shall be always meeting! _We_ must begin; we must go and pay wedding"
