"gutenberg_id","text"
271,"BLACK BEAUTY"
271,""
271,"The Autobiography of a Horse"
271,""
271,"by Anna Sewell [English Quaker -- 1820-1878.]"
271,""
271,""
271,""
271,"[Note: 'Black Beauty' was originally published in 1877. This etext was"
271,"transcribed from an American edition of 1911. Some small corrections"
271,"were made, after being confirmed against other sources.]"
271,""
271,""
271,""
271,""
271,"     To my dear and honored Mother,"
271,"     whose life, no less than her pen,"
271,"     has been devoted to the welfare of others,"
271,"     this little book is affectionately dedicated."
271,""
271,""
271,""
271,""
271,"Contents"
271,""
271,""
271,"     Part I"
271,""
271,"     Chapter"
271,"     01      My Early Home"
271,"     02      The Hunt"
271,"     03      My Breaking In"
271,"     04      Birtwick Park"
271,"     05      A Fair Start"
271,"     06      Liberty"
271,"     07      Ginger"
271,"     08      Ginger's Story Continued"
271,"     09      Merrylegs"
271,"     10      A Talk in the Orchard"
271,"     11      Plain Speaking"
271,"     12      A Stormy Day"
271,"     13      The Devil's Trade Mark"
271,"     14      James Howard"
271,"     15      The Old Hostler"
271,"     16      The Fire"
271,"     17      John Manly's Talk"
271,"     18      Going for the Doctor"
271,"     19      Only Ignorance"
271,"     20      Joe Green"
271,"     21      The Parting"
271,""
271,""
271,"     Part II"
271,""
271,"     22      Earlshall"
271,"     23      A Strike for Liberty"
271,"     24      The Lady Anne, or a Runaway Horse"
271,"     25      Reuben Smith"
271,"     26      How it Ended"
271,"     27      Ruined and Going Downhill"
271,"     28      A Job Horse and His Drivers"
271,"     29      Cockneys"
271,"     30      A Thief"
271,"     31      A Humbug"
271,""
271,""
271,"     Part III"
271,""
271,"     32      A Horse Fair"
271,"     33      A London Cab Horse"
271,"     34      An Old War Horse"
271,"     35      Jerry Barker"
271,"     36      The Sunday Cab"
271,"     37      The Golden Rule"
271,"     38      Dolly and a Real Gentleman"
271,"     39      Seedy Sam"
271,"     40      Poor Ginger"
271,"     41      The Butcher"
271,"     42      The Election"
271,"     43      A Friend in Need"
271,"     44      Old Captain and His Successor"
271,"     45      Jerry's New Year"
271,""
271,""
271,"     Part IV"
271,""
271,"     46      Jakes and the Lady"
271,"     47      Hard Times"
271,"     48      Farmer Thoroughgood and His Grandson Willie"
271,"     49      My Last Home"
271,""
271,""
271,""
271,""
271,""
271,"Black Beauty"
271,""
271,""
271,""
271,""
271,"Part I"
271,""
271,""
271,""
271,""
271,"01 My Early Home"
271,""
271,""
271,"The first place that I can well remember was a large pleasant meadow"
271,"with a pond of clear water in it. Some shady trees leaned over it, and"
271,"rushes and water-lilies grew at the deep end. Over the hedge on one side"
271,"we looked into a plowed field, and on the other we looked over a gate"
271,"at our master's house, which stood by the roadside; at the top of the"
271,"meadow was a grove of fir trees, and at the bottom a running brook"
271,"overhung by a steep bank."
271,""
271,"While I was young I lived upon my mother's milk, as I could not eat"
271,"grass. In the daytime I ran by her side, and at night I lay down close"
271,"by her. When it was hot we used to stand by the pond in the shade of the"
271,"trees, and when it was cold we had a nice warm shed near the grove."
271,""
271,"As soon as I was old enough to eat grass my mother used to go out to"
271,"work in the daytime, and come back in the evening."
271,""
271,"There were six young colts in the meadow besides me; they were older"
271,"than I was; some were nearly as large as grown-up horses. I used to run"
271,"with them, and had great fun; we used to gallop all together round and"
271,"round the field as hard as we could go. Sometimes we had rather rough"
271,"play, for they would frequently bite and kick as well as gallop."
271,""
271,"One day, when there was a good deal of kicking, my mother whinnied to me"
271,"to come to her, and then she said:"
271,""
271,"""I wish you to pay attention to what I am going to say to you. The colts"
271,"who live here are very good colts, but they are cart-horse colts, and"
271,"of course they have not learned manners. You have been well-bred"
271,"and well-born; your father has a great name in these parts, and"
271,"your grandfather won the cup two years at the Newmarket races; your"
271,"grandmother had the sweetest temper of any horse I ever knew, and I"
271,"think you have never seen me kick or bite. I hope you will grow up"
271,"gentle and good, and never learn bad ways; do your work with a good"
271,"will, lift your feet up well when you trot, and never bite or kick even"
271,"in play."""
271,""
271,"I have never forgotten my mother's advice; I knew she was a wise old"
271,"horse, and our master thought a great deal of her. Her name was Duchess,"
271,"but he often called her Pet."
271,""
271,"Our master was a good, kind man. He gave us good food, good lodging, and"
271,"kind words; he spoke as kindly to us as he did to his little children."
271,"We were all fond of him, and my mother loved him very much. When she saw"
271,"him at the gate she would neigh with joy, and trot up to him. He would"
